po_id,product_id,supplier_id,received_date,quantity_received,unit_cost,total_cost,warehouse,quality_pass
PO5248,P1010,S101,2023-06-17,70,666.08,46625.6,Warsaw WH,1
PO5306,P1011,S104,2023-06-17,96,568.09,54536.64,Berlin WH,1
PO5443,P1007,S107,2023-06-17,135,766.41,103465.35,Warsaw WH,1
PO5609,P1018,S103,2023-06-18,96,262.63,25212.48,Berlin WH,1
PO5679,P1026,S104,2023-06-22,150,24.01,3601.5,Madrid WH,1
PO5286,P1015,S108,2023-06-23,80,149.34,11947.2,Madrid WH,1
PO5528,P1021,S108,2023-06-23,186,455.67,84754.62,Madrid WH,1
PO5572,P1023,S106,2023-06-23,173,86.36,14940.28,Berlin WH,1
PO5664,P1002,S108,2023-06-23,149,593.13,88376.37,Helsinki WH,1
PO5548,P1026,S104,2023-06-24,28,24.01,672.28,Berlin WH,1
PO5317,P1014,S107,2023-06-25,135,224.58,30318.3,Tallinn WH,1
PO5349,P1022,S105,2023-06-29,175,328.53,57492.75,Tallinn WH,1
PO5763,P1017,S104,2023-07-02,49,676.64,33155.36,Warsaw WH,1
PO5422,P1018,S110,2023-07-03,167,262.63,43859.21,Madrid WH,1
PO5139,P1007,S101,2023-07-07,59,766.41,45218.19,Madrid WH,1
PO5109,P1007,S101,2023-07-10,76,766.41,58247.16,Berlin WH,1
PO5526,P1016,S106,2023-07-10,153,791.78,121142.34,Madrid WH,1
PO5598,P1013,S101,2023-07-10,104,514.01,53457.04,Madrid WH,1
PO5600,P1023,S101,2023-07-10,188,86.36,16235.68,Warsaw WH,1
PO5726,P1007,S109,2023-07-10,87,766.41,66677.67,Madrid WH,0
PO5611,P1022,S101,2023-07-14,1,328.53,328.53,Berlin WH,1
PO5508,P1011,S109,2023-07-15,136,568.09,77260.24,Helsinki WH,1
PO5376,P1015,S102,2023-07-18,13,149.34,1941.42,Tallinn WH,0
PO5740,P1015,S102,2023-07-18,22,149.34,3285.48,Tallinn WH,1
PO5558,P1007,S105,2023-07-19,113,766.41,86604.33,Warsaw WH,1
PO5761,P1012,S107,2023-07-21,59,77.64,4580.76,Berlin WH,1
PO5207,P1022,S107,2023-07-22,126,328.53,41394.78,Madrid WH,1
PO5307,P1015,S110,2023-07-22,183,149.34,27329.22,Tallinn WH,1
PO5018,P1008,S106,2023-07-24,19,680.28,12925.32,Madrid WH,1
PO5173,P1021,S101,2023-07-25,114,455.67,51946.38,Berlin WH,1
PO5695,P1004,S102,2023-07-25,64,35.83,2293.12,Berlin WH,1
PO5753,P1008,S106,2023-07-25,28,680.28,19047.84,Madrid WH,1
PO5291,P1003,S103,2023-07-27,130,346.21,45007.3,Madrid WH,1
PO5677,P1016,S105,2023-07-28,36,791.78,28504.08,Helsinki WH,1
PO5586,P1009,S105,2023-07-29,189,435.94,82392.66,Berlin WH,1
PO5615,P1002,S109,2023-07-29,27,593.13,16014.51,Tallinn WH,1
PO5033,P1014,S107,2023-07-30,91,224.58,20436.78,Madrid WH,1
PO5334,P1002,S104,2023-07-30,21,593.13,12455.73,Tallinn WH,1
PO5646,P1018,S103,2023-07-30,147,262.63,38606.61,Helsinki WH,1
PO5278,P1022,S105,2023-07-31,88,328.53,28910.64,Helsinki WH,1
PO5321,P1024,S108,2023-08-01,198,636.78,126082.44,Madrid WH,1
PO5555,P1007,S105,2023-08-03,76,766.41,58247.16,Warsaw WH,0
PO5724,P1005,S110,2023-08-03,19,188.05,3572.95,Tallinn WH,1
PO5551,P1009,S105,2023-08-05,3,435.94,1307.82,Helsinki WH,1
PO5062,P1027,S109,2023-08-07,200,224.46,44892.0,Warsaw WH,1
PO5426,P1007,S107,2023-08-08,86,766.41,65911.26,Tallinn WH,1
PO5037,P1004,S109,2023-08-10,98,35.83,3511.34,Helsinki WH,1
PO5560,P1008,S104,2023-08-12,174,680.28,118368.72,Berlin WH,0
PO5669,P1021,S108,2023-08-12,40,455.67,18226.8,Helsinki WH,1
PO5400,P1005,S110,2023-08-14,49,188.05,9214.45,Helsinki WH,1
PO5461,P1015,S110,2023-08-20,9,149.34,1344.06,Warsaw WH,1
PO5154,P1018,S110,2023-08-21,119,262.63,31252.97,Helsinki WH,1
PO5345,P1019,S103,2023-08-21,7,702.95,4920.65,Berlin WH,1
PO5250,P1024,S106,2023-08-22,89,636.78,56673.42,Warsaw WH,1
PO5570,P1023,S106,2023-08-22,90,86.36,7772.4,Tallinn WH,1
PO5089,P1007,S105,2023-08-23,145,766.41,111129.45,Berlin WH,1
PO5091,P1002,S108,2023-08-23,200,593.13,118626.0,Berlin WH,0
PO5228,P1014,S108,2023-08-23,168,224.58,37729.44,Madrid WH,1
PO5045,P1024,S106,2023-08-25,99,636.78,63041.22,Madrid WH,1
PO5204,P1005,S106,2023-08-26,25,188.05,4701.25,Berlin WH,1
PO5556,P1022,S101,2023-08-26,187,328.53,61435.11,Berlin WH,1
PO5638,P1009,S105,2023-08-26,117,435.94,51004.98,Madrid WH,1
PO5481,P1014,S110,2023-08-29,192,224.58,43119.36,Warsaw WH,1
PO5346,P1011,S104,2023-08-30,68,568.09,38630.12,Tallinn WH,1
PO5796,P1016,S105,2023-08-30,121,791.78,95805.38,Helsinki WH,1
PO5437,P1010,S101,2023-08-31,120,666.08,79929.6,Tallinn WH,1
PO5387,P1004,S107,2023-09-01,33,35.83,1182.39,Helsinki WH,1
PO5672,P1011,S109,2023-09-03,24,568.09,13634.16,Berlin WH,1
PO5095,P1007,S107,2023-09-05,145,766.41,111129.45,Helsinki WH,1
PO5064,P1018,S110,2023-09-06,117,262.63,30727.71,Berlin WH,1
PO5211,P1014,S110,2023-09-08,117,224.58,26275.86,Helsinki WH,1
PO5235,P1014,S107,2023-09-08,106,224.58,23805.48,Tallinn WH,1
PO5198,P1025,S106,2023-09-11,117,796.96,93244.32,Tallinn WH,1
PO5136,P1022,S105,2023-09-12,120,328.53,39423.6,Tallinn WH,1
PO5302,P1019,S106,2023-09-13,73,702.95,51315.35,Helsinki WH,1
PO5166,P1027,S101,2023-09-16,129,224.46,28955.34,Madrid WH,1
PO5080,P1018,S110,2023-09-19,160,262.63,42020.8,Madrid WH,1
PO5666,P1009,S105,2023-09-25,61,435.94,26592.34,Tallinn WH,1
PO5016,P1024,S104,2023-09-26,172,636.78,109526.16,Tallinn WH,1
PO5293,P1004,S107,2023-09-26,153,35.83,5481.99,Warsaw WH,1
PO5191,P1026,S104,2023-09-27,24,24.01,576.24,Tallinn WH,1
PO5217,P1007,S101,2023-09-27,4,766.41,3065.64,Tallinn WH,1
PO5019,P1018,S103,2023-09-29,90,262.63,23636.7,Helsinki WH,1
PO5595,P1017,S102,2023-09-29,64,676.64,43304.96,Berlin WH,1
PO5456,P1012,S107,2023-09-30,168,77.64,13043.52,Tallinn WH,1
PO5322,P1008,S104,2023-10-01,12,680.28,8163.36,Tallinn WH,1
PO5440,P1014,S110,2023-10-01,123,224.58,27623.34,Berlin WH,1
PO5454,P1021,S108,2023-10-05,197,455.67,89766.99,Warsaw WH,1
PO5534,P1021,S101,2023-10-05,78,455.67,35542.26,Helsinki WH,0
PO5536,P1013,S109,2023-10-06,77,514.01,39578.77,Tallinn WH,1
PO5158,P1024,S106,2023-10-07,18,636.78,11462.04,Tallinn WH,1
PO5708,P1002,S104,2023-10-07,41,593.13,24318.33,Warsaw WH,1
PO5189,P1012,S107,2023-10-08,161,77.64,12500.04,Helsinki WH,1
PO5390,P1027,S101,2023-10-08,183,224.46,41076.18,Tallinn WH,1
PO5616,P1021,S104,2023-10-08,98,455.67,44655.66,Berlin WH,1
PO5253,P1003,S102,2023-10-09,196,346.21,67857.16,Tallinn WH,1
PO5419,P1021,S108,2023-10-09,2,455.67,911.34,Madrid WH,0
PO5300,P1002,S109,2023-10-11,65,593.13,38553.45,Helsinki WH,1
PO5590,P1004,S102,2023-10-13,53,35.83,1898.99,Berlin WH,1
PO5203,P1012,S101,2023-10-14,12,77.64,931.68,Helsinki WH,1
PO5514,P1022,S108,2023-10-14,177,328.53,58149.81,Helsinki WH,1
PO5787,P1012,S107,2023-10-14,185,77.64,14363.4,Helsinki WH,1
PO5433,P1008,S102,2023-10-15,123,680.28,83674.44,Tallinn WH,0
PO5715,P1005,S106,2023-10-16,85,188.05,15984.25,Helsinki WH,1
PO5705,P1015,S108,2023-10-18,199,149.34,29718.66,Helsinki WH,1
PO5617,P1012,S107,2023-10-20,18,77.64,1397.52,Madrid WH,1
PO5178,P1023,S106,2023-10-21,60,86.36,5181.6,Warsaw WH,1
PO5243,P1027,S109,2023-10-21,145,224.46,32546.7,Warsaw WH,1
PO5315,P1015,S108,2023-10-22,75,149.34,11200.5,Warsaw WH,1
PO5168,P1023,S101,2023-10-23,105,86.36,9067.8,Berlin WH,1
PO5473,P1015,S108,2023-10-23,119,149.34,17771.46,Helsinki WH,1
PO5157,P1016,S106,2023-10-24,99,791.78,78386.22,Berlin WH,0
PO5412,P1002,S109,2023-10-27,75,593.13,44484.75,Helsinki WH,1
PO5058,P1024,S102,2023-10-29,7,636.78,4457.46,Helsinki WH,1
PO5061,P1019,S103,2023-10-30,168,702.95,118095.6,Helsinki WH,1
PO5266,P1014,S110,2023-10-30,61,224.58,13699.38,Helsinki WH,1
PO5399,P1011,S104,2023-10-30,175,568.09,99415.75,Berlin WH,1
PO5031,P1023,S106,2023-10-31,111,86.36,9585.96,Berlin WH,1
PO5501,P1019,S106,2023-11-01,62,702.95,43582.9,Berlin WH,1
PO5686,P1022,S105,2023-11-01,9,328.53,2956.77,Madrid WH,1
PO5030,P1014,S108,2023-11-02,140,224.58,31441.2,Helsinki WH,1
PO5134,P1022,S107,2023-11-02,69,328.53,22668.57,Berlin WH,1
PO5284,P1014,S107,2023-11-04,86,224.58,19313.88,Helsinki WH,1
PO5658,P1019,S103,2023-11-05,2,702.95,1405.9,Warsaw WH,1
PO5799,P1027,S109,2023-11-05,36,224.46,8080.56,Berlin WH,1
PO5123,P1010,S101,2023-11-07,39,666.08,25977.12,Madrid WH,0
PO5401,P1017,S104,2023-11-07,106,676.64,71723.84,Berlin WH,1
PO5619,P1026,S107,2023-11-07,106,24.01,2545.06,Madrid WH,1
PO5072,P1014,S108,2023-11-09,181,224.58,40648.98,Berlin WH,1
PO5634,P1025,S106,2023-11-09,72,796.96,57381.12,Helsinki WH,1
PO5342,P1027,S101,2023-11-11,174,224.46,39056.04,Warsaw WH,0
PO5732,P1005,S106,2023-11-11,14,188.05,2632.7,Tallinn WH,1
PO5365,P1023,S106,2023-11-12,44,86.36,3799.84,Madrid WH,1
PO5034,P1017,S104,2023-11-13,61,676.64,41275.04,Berlin WH,0
PO5238,P1003,S102,2023-11-13,169,346.21,58509.49,Warsaw WH,1
PO5351,P1021,S104,2023-11-19,183,455.67,83387.61,Berlin WH,1
PO5371,P1010,S101,2023-11-20,113,666.08,75267.04,Warsaw WH,1
PO5608,P1021,S104,2023-11-22,71,455.67,32352.57,Helsinki WH,1
PO5339,P1002,S109,2023-11-24,8,593.13,4745.04,Berlin WH,1
PO5144,P1021,S101,2023-11-26,85,455.67,38731.95,Warsaw WH,1
PO5725,P1011,S104,2023-11-26,188,568.09,106800.92,Helsinki WH,1
PO5028,P1018,S103,2023-11-27,190,262.63,49899.7,Warsaw WH,1
PO5361,P1004,S102,2023-11-28,83,35.83,2973.89,Berlin WH,1
PO5773,P1003,S104,2023-12-01,67,346.21,23196.07,Helsinki WH,1
PO5194,P1024,S109,2023-12-03,66,636.78,42027.48,Warsaw WH,0
PO5618,P1004,S107,2023-12-03,113,35.83,4048.79,Tallinn WH,1
PO5728,P1022,S107,2023-12-04,156,328.53,51250.68,Warsaw WH,1
PO5294,P1008,S102,2023-12-06,185,680.28,125851.8,Warsaw WH,1
PO5549,P1003,S104,2023-12-07,166,346.21,57470.86,Madrid WH,1
PO5720,P1017,S104,2023-12-07,106,676.64,71723.84,Warsaw WH,1
PO5716,P1002,S104,2023-12-10,163,593.13,96680.19,Helsinki WH,1
PO5264,P1021,S108,2023-12-11,20,455.67,9113.4,Madrid WH,1
PO5683,P1010,S101,2023-12-11,147,666.08,97913.76,Warsaw WH,1
PO5492,P1003,S104,2023-12-13,36,346.21,12463.56,Madrid WH,1
PO5791,P1011,S109,2023-12-15,169,568.09,96007.21,Madrid WH,1
PO5571,P1004,S107,2023-12-20,173,35.83,6198.59,Tallinn WH,1
PO5576,P1025,S106,2023-12-21,143,796.96,113965.28,Berlin WH,1
PO5267,P1024,S102,2023-12-22,155,636.78,98700.9,Berlin WH,1
PO5052,P1007,S109,2023-12-23,158,766.41,121092.78,Madrid WH,1
PO5323,P1013,S109,2023-12-25,200,514.01,102802.0,Warsaw WH,0
PO5469,P1010,S101,2023-12-25,161,666.08,107238.88,Warsaw WH,1
PO5192,P1017,S104,2023-12-26,52,676.64,35185.28,Berlin WH,1
PO5431,P1024,S102,2023-12-26,157,636.78,99974.46,Warsaw WH,1
PO5639,P1021,S104,2023-12-26,31,455.67,14125.77,Helsinki WH,1
PO5035,P1002,S109,2023-12-29,106,593.13,62871.78,Helsinki WH,1
PO5772,P1022,S105,2023-12-30,122,328.53,40080.66,Madrid WH,1
PO5043,P1018,S103,2024-01-01,149,262.63,39131.87,Tallinn WH,1
PO5652,P1010,S101,2024-01-03,58,666.08,38632.64,Madrid WH,0
PO5541,P1024,S102,2024-01-04,175,636.78,111436.5,Madrid WH,1
PO5289,P1021,S104,2024-01-05,55,455.67,25061.85,Tallinn WH,0
PO5082,P1016,S105,2024-01-08,13,791.78,10293.14,Tallinn WH,1
PO5104,P1002,S104,2024-01-08,125,593.13,74141.25,Berlin WH,1
PO5359,P1008,S109,2024-01-08,197,680.28,134015.16,Berlin WH,1
PO5324,P1007,S105,2024-01-09,35,766.41,26824.35,Helsinki WH,1
PO5793,P1016,S106,2024-01-10,175,791.78,138561.5,Tallinn WH,1
PO5563,P1026,S107,2024-01-13,48,24.01,1152.48,Warsaw WH,1
PO5114,P1002,S108,2024-01-15,50,593.13,29656.5,Berlin WH,1
PO5011,P1022,S101,2024-01-16,18,328.53,5913.54,Madrid WH,1
PO5567,P1025,S106,2024-01-18,94,796.96,74914.24,Tallinn WH,1
PO5738,P1026,S104,2024-01-18,115,24.01,2761.15,Helsinki WH,1
PO5524,P1022,S101,2024-01-19,111,328.53,36466.83,Warsaw WH,1
PO5577,P1017,S102,2024-01-19,81,676.64,54807.84,Warsaw WH,1
PO5700,P1005,S110,2024-01-21,127,188.05,23882.35,Madrid WH,1
PO5789,P1027,S101,2024-01-24,88,224.46,19752.48,Berlin WH,1
PO5477,P1024,S109,2024-01-26,14,636.78,8914.92,Tallinn WH,1
PO5328,P1022,S108,2024-01-27,74,328.53,24311.22,Tallinn WH,1
PO5290,P1005,S106,2024-01-29,58,188.05,10906.9,Berlin WH,1
PO5747,P1002,S109,2024-01-30,33,593.13,19573.29,Helsinki WH,1
PO5116,P1024,S109,2024-02-02,76,636.78,48395.28,Berlin WH,1
PO5060,P1008,S106,2024-02-03,184,680.28,125171.52,Warsaw WH,1
PO5385,P1008,S106,2024-02-03,93,680.28,63266.04,Madrid WH,1
PO5657,P1005,S106,2024-02-05,188,188.05,35353.4,Madrid WH,1
PO5047,P1025,S106,2024-02-08,94,796.96,74914.24,Warsaw WH,1
PO5564,P1002,S108,2024-02-09,116,593.13,68803.08,Madrid WH,1
PO5133,P1015,S110,2024-02-10,109,149.34,16278.06,Helsinki WH,1
PO5038,P1001,S103,2024-02-13,118,516.95,61000.1,Tallinn WH,1
PO5326,P1004,S109,2024-02-13,11,35.83,394.13,Tallinn WH,0
PO5689,P1017,S104,2024-02-13,165,676.64,111645.6,Madrid WH,1
PO5537,P1014,S108,2024-02-16,123,224.58,27623.34,Tallinn WH,1
PO5768,P1008,S109,2024-02-16,15,680.28,10204.2,Berlin WH,1
PO5703,P1018,S110,2024-02-17,34,262.63,8929.42,Tallinn WH,1
PO5607,P1009,S105,2024-02-19,177,435.94,77161.38,Berlin WH,1
PO5025,P1008,S104,2024-02-21,176,680.28,119729.28,Tallinn WH,1
PO5486,P1002,S104,2024-02-21,95,593.13,56347.35,Tallinn WH,1
PO5635,P1024,S106,2024-02-21,40,636.78,25471.2,Madrid WH,1
PO5482,P1014,S108,2024-02-23,102,224.58,22907.16,Berlin WH,1
PO5213,P1017,S102,2024-02-25,18,676.64,12179.52,Madrid WH,1
PO5403,P1019,S106,2024-02-29,144,702.95,101224.8,Tallinn WH,0
PO5671,P1014,S110,2024-03-01,116,224.58,26051.28,Tallinn WH,1
PO5128,P1003,S102,2024-03-08,68,346.21,23542.28,Helsinki WH,1
PO5565,P1023,S101,2024-03-15,53,86.36,4577.08,Tallinn WH,1
PO5465,P1001,S103,2024-03-20,194,516.95,100288.3,Helsinki WH,1
PO5479,P1023,S106,2024-03-20,123,86.36,10622.28,Berlin WH,1
PO5620,P1027,S109,2024-03-20,23,224.46,5162.58,Helsinki WH,1
PO5451,P1002,S108,2024-03-22,149,593.13,88376.37,Helsinki WH,1
PO5442,P1022,S108,2024-03-23,196,328.53,64391.88,Berlin WH,1
PO5188,P1003,S104,2024-03-24,163,346.21,56432.23,Berlin WH,1
PO5077,P1025,S106,2024-03-27,125,796.96,99620.0,Berlin WH,1
PO5714,P1002,S109,2024-03-28,164,593.13,97273.32,Madrid WH,1
PO5487,P1008,S106,2024-03-29,190,680.28,129253.2,Berlin WH,1
PO5775,P1003,S102,2024-03-29,166,346.21,57470.86,Berlin WH,1
PO5304,P1022,S101,2024-03-30,116,328.53,38109.48,Tallinn WH,0
PO5678,P1024,S109,2024-03-31,34,636.78,21650.52,Berlin WH,1
PO5352,P1024,S106,2024-04-04,32,636.78,20376.96,Berlin WH,1
PO5582,P1008,S103,2024-04-05,138,680.28,93878.64,Tallinn WH,1
PO5722,P1008,S106,2024-04-06,42,680.28,28571.76,Warsaw WH,1
PO5125,P1007,S107,2024-04-07,199,766.41,152515.59,Madrid WH,1
PO5196,P1015,S102,2024-04-07,174,149.34,25985.16,Warsaw WH,0
PO5417,P1019,S106,2024-04-07,164,702.95,115283.8,Berlin WH,1
PO5504,P1014,S108,2024-04-07,77,224.58,17292.66,Helsinki WH,1
PO5240,P1008,S103,2024-04-08,110,680.28,74830.8,Madrid WH,0
PO5612,P1017,S102,2024-04-08,133,676.64,89993.12,Warsaw WH,1
PO5741,P1017,S104,2024-04-10,142,676.64,96082.88,Helsinki WH,1
PO5039,P1004,S109,2024-04-11,58,35.83,2078.14,Helsinki WH,1
PO5397,P1018,S103,2024-04-11,185,262.63,48586.55,Helsinki WH,1
PO5113,P1018,S103,2024-04-17,31,262.63,8141.53,Berlin WH,1
PO5495,P1024,S109,2024-04-18,18,636.78,11462.04,Berlin WH,1
PO5214,P1003,S102,2024-04-22,85,346.21,29427.85,Berlin WH,1
PO5668,P1008,S103,2024-04-23,20,680.28,13605.6,Berlin WH,1
PO5466,P1003,S103,2024-04-24,188,346.21,65087.48,Madrid WH,1
PO5012,P1027,S109,2024-04-26,104,224.46,23343.84,Helsinki WH,0
PO5057,P1013,S109,2024-04-26,173,514.01,88923.73,Tallinn WH,1
PO5209,P1022,S105,2024-04-28,93,328.53,30553.29,Helsinki WH,0
PO5295,P1026,S104,2024-05-01,114,24.01,2737.14,Madrid WH,1
PO5758,P1008,S104,2024-05-01,13,680.28,8843.64,Warsaw WH,0
