order_id,order_date,customer_id,region,country,category,product,customer_segment,units,unit_price,unit_cost,revenue,cost,margin,discount_pct,status,is_returned
12057,2023-02-03,C1056,EMEA,Germany,Accessories,Desk Mat,SMB,1,23.53,6.17,23.53,6.17,17.36,0.00,Delivered,0
12923,2023-02-03,C1085,AMER,United States,Software,Cloud Backup 1TB,SMB,6,55.82,6.82,334.92,40.92,294.00,0.00,Pending,0
10308,2023-02-04,C1204,EMEA,Netherlands,Hardware,Docking Station,Enterprise,9,204.89,95.96,1844.01,863.64,980.37,0.00,Delivered,0
11258,2023-02-04,C1142,EMEA,Netherlands,Hardware,Laptop Stand,Mid-Market,2,44.88,15.00,71.81,30.00,41.81,0.20,Shipped,0
11658,2023-02-04,C1079,AMER,Brazil,Services,Training Course,SMB,1,354.04,85.32,354.04,85.32,268.72,0.00,Delivered,0
12972,2023-02-04,C1003,AMER,United States,Software,Analytics Platform,SMB,5,386.10,35.39,1930.50,176.95,1753.55,0.00,Delivered,0
10959,2023-02-05,C1209,AMER,Canada,Services,Custom Integration,Enterprise,7,1179.36,426.47,8255.52,2985.29,5270.23,,Delivered,0
11128,2023-02-05,C1021,AMER,United States,Accessories,Carry Sleeve,SMB,5,27.71,7.72,138.55,38.60,99.95,0.00,Delivered,0
12889,2023-02-05,C1238,AMER,Canada,Hardware,"27"" Monitor",Consumer,2,333.97,145.07,500.96,290.14,210.82,0.25,Delivered,0
12983,2023-02-05,C1023,EMEA,Germany,Services,Training Course,SMB,8,340.77,89.29,2726.16,714.32,2011.84,0.00,Delivered,0
11699,2023-02-06,C1238,EMEA,France,Hardware,USB-C Hub,Consumer,3,50.99,20.00,152.97,60.00,92.97,0.00,Delivered,0
10332,2023-02-07,C1266,AMER,Mexico,Hardware,Docking Station,Consumer,1,200.31,89.30,200.31,89.30,111.01,0.00,Delivered,0
11318,2023-02-07,C1108,AMER,Mexico,Software,VPN Annual,SMB,3,37.18,3.10,111.54,9.30,102.24,0.00,Delivered,0
11984,2023-02-07,C1060,EMEA,France,Hardware,USB-C Hub,SMB,4,51.18,20.53,204.72,82.12,122.60,0.00,Delivered,0
12703,2023-02-07,C1205,APAC,India,Accessories,Desk Mat,Enterprise,20,23.93,6.28,382.88,125.60,257.28,0.20,Shipped,0
10304,2023-02-08,C1196,APAC,South Korea,Services,Priority Support,Enterprise,16,190.31,37.37,3044.96,597.92,2447.04,0.00,Shipped,0
10780,2023-02-08,C1177,AMER,Mexico,Hardware,Laptop Stand,Mid-Market,11,41.90,16.10,460.90,177.10,283.80,0.00,Delivered,0
11993,2023-02-08,C1138,EMEA,Netherlands,Hardware,Docking Station,Mid-Market,8,196.20,92.62,1569.60,740.96,828.64,0.00,Delivered,0
10986,2023-02-09,C1209,APAC,Singapore,Accessories,Carry Sleeve,Enterprise,4,30.12,8.09,120.48,32.36,88.12,0.00,Pending,0
11313,2023-02-09,C1194,EMEA,France,Hardware,USB-C Hub,Enterprise,16,51.73,21.54,744.91,344.64,400.27,0.10,Shipped,0
11942,2023-02-09,C1188,EMEA,Sweden,Hardware,Webcam HD,Enterprise,7,82.74,30.85,579.18,215.95,363.23,0.00,Delivered,0
12898,2023-02-09,C1152,EMEA,United Kingdom,Services,Onboarding Workshop,Mid-Market,6,493.05,146.48,2958.30,878.88,2079.42,0.00,Delivered,0
10045,2023-02-11,C1052,AMER,Canada,Software,Design Suite,SMB,6,260.74,27.23,1564.44,163.38,1401.06,0.00,Delivered,0
10501,2023-02-11,C1196,AMER,Canada,Accessories,Carry Sleeve,Enterprise,17,28.86,8.13,490.62,138.21,352.41,0.00,Delivered,0
11005,2023-02-11,C1122,APAC,Singapore,Software,Analytics Platform,Mid-Market,7,403.48,36.83,2400.71,257.81,2142.90,0.15,Delivered,0
11163,2023-02-11,C1147,EMEA,United Kingdom,Accessories,Carry Sleeve,Mid-Market,6,27.58,8.14,165.48,48.84,116.64,0.00,Delivered,0
11560,2023-02-12,C1062,AMER,Brazil,Hardware,Mechanical Keyboard,SMB,8,125.07,50.41,900.50,403.28,497.22,0.10,Delivered,0
12901,2023-02-12,C1255,APAC,Singapore,Services,Custom Integration,Consumer,4,1140.18,404.91,4560.72,1619.64,2941.08,0.00,Delivered,0
10655,2023-02-13,C1187,APAC,Singapore,Accessories,Desk Mat,Enterprise,3,22.59,6.00,54.22,18.00,36.22,0.20,Delivered,0
11378,2023-02-13,C1086,EMEA,France,Services,Priority Support,SMB,2,178.37,34.30,356.74,68.60,288.14,0.00,Delivered,0
11447,2023-02-14,C1118,EMEA,Spain,Hardware,Laptop Stand,SMB,7,46.42,15.17,324.94,106.19,218.75,0.00,Delivered,0
11808,2023-02-14,C1156,EMEA,Netherlands,Services,Priority Support,Mid-Market,3,181.27,37.05,543.81,111.15,432.66,0.00,Pending,0
10836,2023-02-15,C1176,APAC,Singapore,Accessories,Carry Sleeve,Mid-Market,6,28.25,8.41,169.50,50.46,119.04,0.00,Delivered,0
11528,2023-02-15,C1249,AMER,Brazil,Accessories,Desk Mat,Consumer,3,23.81,6.33,71.43,18.99,52.44,,Delivered,0
11593,2023-02-15,C1084,AMER,Brazil,Software,Analytics Platform,SMB,5,413.79,34.61,2068.95,173.05,1895.90,0.00,Delivered,1
12298,2023-02-15,C1219,AMER,Canada,Hardware,Laptop Stand,Consumer,4,43.56,15.62,174.24,62.48,111.76,,Delivered,0
10251,2023-02-16,C1040,EMEA,Sweden,Software,VPN Annual,SMB,8,39.61,3.04,316.88,24.32,292.56,0.00,Delivered,0
10382,2023-02-16,C1207,AMER,Brazil,Accessories,Monitor Arm,Enterprise,12,87.96,32.45,1055.52,389.40,666.12,0.00,Delivered,0
12293,2023-02-16,C1165,APAC,South Korea,Accessories,Carry Sleeve,Mid-Market,8,27.97,7.91,223.76,63.28,160.48,0.00,Shipped,0
10394,2023-02-17,C1137,EMEA,Germany,Hardware,Laptop Stand,Mid-Market,3,45.79,15.65,130.50,46.95,83.55,0.05,Delivered,0
10477,2023-02-17,C1183,EMEA,Sweden,Hardware,Docking Station,Enterprise,8,204.28,88.33,1634.24,706.64,927.60,0.00,Cancelled,0
10587,2023-02-17,C1065,AMER,Canada,Hardware,Mechanical Keyboard,SMB,6,125.56,50.87,753.36,305.22,448.14,0.00,Delivered,0
10639,2023-02-17,C1187,AMER,United States,Hardware,Docking Station,Enterprise,19,206.15,94.24,3916.85,1790.56,2126.29,0.00,Delivered,0
10958,2023-02-17,C1010,EMEA,Spain,Hardware,"27"" Monitor",SMB,1,322.00,146.74,322.00,146.74,175.26,0.00,Delivered,0
11867,2023-02-17,C1295,EMEA,Germany,Accessories,Cable Set,Consumer,4,14.41,4.47,43.23,17.88,25.35,0.25,Delivered,0
11373,2023-02-18,C1030,AMER,Brazil,Accessories,Desk Mat,SMB,3,23.90,6.35,68.11,19.05,49.06,0.05,Delivered,0
10418,2023-02-19,C1226,EMEA,Finland,Hardware,Mechanical Keyboard,Consumer,4,132.57,50.92,530.28,203.68,326.60,0.00,Delivered,0
10904,2023-02-19,C1192,APAC,South Korea,Hardware,Webcam HD,Enterprise,16,82.96,31.66,1327.36,506.56,820.80,0.00,Delivered,0
12268,2023-02-20,C1220,AMER,Mexico,Hardware,Docking Station,Consumer,2,191.69,96.03,383.38,192.06,191.32,0.00,Delivered,0
12846,2023-02-20,C1134,AMER,Brazil,Services,Training Course,Mid-Market,6,356.39,86.16,2138.34,516.96,1621.38,0.00,Delivered,0
10584,2023-02-21,C1177,AMER,Brazil,Accessories,Carry Sleeve,Mid-Market,11,30.26,8.51,332.86,93.61,239.25,0.00,Delivered,0
11583,2023-02-21,C1157,EMEA,France,Hardware,USB-C Hub,Mid-Market,7,47.13,21.71,329.91,151.97,177.94,,Shipped,0
11914,2023-02-21,C1061,AMER,Mexico,Software,Analytics Platform,SMB,8,379.39,34.92,3035.12,279.36,2755.76,0.00,Delivered,0
12078,2023-02-21,C1042,EMEA,France,Hardware,USB-C Hub,SMB,5,51.19,21.15,255.95,105.75,150.20,0.00,Pending,0
12246,2023-02-21,C1183,AMER,Mexico,Software,Design Suite,Enterprise,12,261.58,26.76,3138.96,321.12,2817.84,0.00,Delivered,0
12779,2023-02-21,C1118,AMER,Canada,Software,Analytics Platform,SMB,6,403.50,36.66,2421.00,219.96,2201.04,0.00,Delivered,0
12728,2023-02-22,C1059,EMEA,Sweden,Services,Training Course,SMB,8,349.06,88.97,2792.48,711.76,2080.72,0.00,Delivered,0
10233,2023-02-23,C1180,APAC,Japan,Services,Custom Integration,Mid-Market,8,1162.30,427.71,9298.40,3421.68,5876.72,0.00,Shipped,0
11648,2023-02-23,C1205,EMEA,Spain,Hardware,Laptop Stand,Enterprise,20,45.62,15.03,912.40,300.60,611.80,0.00,Cancelled,0
11741,2023-02-23,C1197,EMEA,United Kingdom,Hardware,"27"" Monitor",Enterprise,17,334.86,134.96,5692.62,2294.32,3398.30,0.00,Shipped,0
12412,2023-02-23,C1151,APAC,Japan,Software,Design Suite,Mid-Market,3,263.50,27.33,790.50,81.99,708.51,0.00,Delivered,0
10463,2023-02-24,C1032,EMEA,France,Services,Custom Integration,SMB,3,1161.63,408.98,3484.89,1226.94,2257.95,0.00,Delivered,0
12615,2023-02-24,C1139,APAC,South Korea,Hardware,USB-C Hub,Mid-Market,5,48.04,21.82,240.20,109.10,131.10,,Delivered,0
12949,2023-02-24,C1210,EMEA,Netherlands,Hardware,"27"" Monitor",Enterprise,4,323.54,139.79,1294.16,559.16,735.00,,Delivered,0
12491,2023-02-25,C1229,EMEA,Netherlands,Hardware,Mechanical Keyboard,Consumer,3,128.22,50.32,384.66,150.96,233.70,0.00,Delivered,0
12758,2023-02-25,C1181,AMER,Mexico,Software,Analytics Platform,Enterprise,10,398.08,34.40,3980.80,344.00,3636.80,0.00,Delivered,0
10662,2023-02-26,C1187,EMEA,United Kingdom,Software,Cloud Backup 1TB,Enterprise,7,55.74,7.35,292.63,51.45,241.18,0.25,Shipped,0
11472,2023-02-26,C1210,EMEA,France,Hardware,Docking Station,Enterprise,19,203.45,95.30,3865.55,1810.70,2054.85,0.00,Delivered,0
11829,2023-02-26,C1171,APAC,Japan,Hardware,"27"" Monitor",Mid-Market,3,325.23,138.12,780.55,414.36,366.19,0.20,Delivered,0
10055,2023-02-27,C1168,EMEA,Germany,Software,Cloud Backup 1TB,Mid-Market,10,55.89,7.18,558.90,71.80,487.10,0.00,Delivered,0
12146,2023-02-27,C1065,AMER,Brazil,Services,Onboarding Workshop,SMB,4,480.62,146.71,1922.48,586.84,1335.64,0.00,Shipped,0
11531,2023-02-28,C1189,EMEA,Spain,Hardware,Laptop Stand,Enterprise,14,41.68,14.75,583.52,206.50,377.02,0.00,Delivered,0
12064,2023-02-28,C1119,AMER,United States,Accessories,Monitor Arm,SMB,3,93.94,33.57,281.82,100.71,181.11,0.00,Delivered,0
12761,2023-02-28,C1189,APAC,South Korea,Hardware,"27"" Monitor",Enterprise,5,317.43,135.56,1587.15,677.80,909.35,0.00,Delivered,0
11910,2023-03-01,C1044,EMEA,Sweden,Software,Cloud Backup 1TB,SMB,6,59.45,7.14,356.70,42.84,313.86,,Delivered,0
12849,2023-03-01,C1027,EMEA,United Kingdom,Software,Cloud Backup 1TB,SMB,8,56.69,7.11,430.84,56.88,373.96,0.05,Delivered,0
12933,2023-03-01,C1161,AMER,Brazil,Hardware,Webcam HD,Mid-Market,2,84.05,32.60,168.10,65.20,102.90,0.00,Delivered,1
10809,2023-03-02,C1209,EMEA,France,Services,Priority Support,Enterprise,19,185.23,35.63,3519.37,676.97,2842.40,0.00,Delivered,0
11067,2023-03-02,C1195,AMER,Brazil,Accessories,Carry Sleeve,Enterprise,18,27.30,7.74,466.83,139.32,327.51,0.05,Delivered,0
11114,2023-03-02,C1233,EMEA,Sweden,Services,Training Course,Consumer,4,337.31,89.41,1349.24,357.64,991.60,0.00,Delivered,0
11402,2023-03-02,C1134,EMEA,Germany,Software,VPN Annual,Mid-Market,8,37.59,3.17,300.72,25.36,275.36,0.00,Delivered,0
12425,2023-03-02,C1116,EMEA,Netherlands,Hardware,"27"" Monitor",SMB,5,335.42,142.17,1677.10,710.85,966.25,0.00,Delivered,0
12979,2023-03-02,C1086,EMEA,Sweden,Accessories,Cable Set,SMB,7,14.75,4.55,87.76,31.85,55.91,0.15,Delivered,0
10346,2023-03-03,C1124,APAC,Singapore,Services,Training Course,Mid-Market,11,344.60,86.86,3790.60,955.46,2835.14,0.00,Delivered,0
10535,2023-03-03,C1086,AMER,United States,Accessories,Carry Sleeve,SMB,5,29.39,7.88,146.95,39.40,107.55,0.00,Delivered,0
11620,2023-03-03,C1148,EMEA,Spain,Software,Design Suite,Mid-Market,5,259.81,27.32,1299.05,136.60,1162.45,0.00,Delivered,0
12416,2023-03-03,C1150,EMEA,Sweden,Software,Editor Pro License,Mid-Market,5,93.42,10.05,350.33,50.25,300.08,0.25,Delivered,0
12961,2023-03-03,C1247,APAC,Australia,Software,Design Suite,Consumer,2,252.91,28.54,480.53,57.08,423.45,0.05,Delivered,0
12966,2023-03-03,C1027,EMEA,Sweden,Software,Analytics Platform,SMB,2,417.47,34.59,834.94,69.18,765.76,0.00,Shipped,0
11408,2023-03-04,C1175,APAC,South Korea,Accessories,Desk Mat,Mid-Market,5,22.76,6.19,113.80,30.95,82.85,0.00,Delivered,0
11918,2023-03-04,C1086,AMER,Mexico,Hardware,Laptop Stand,SMB,4,44.28,15.92,177.12,63.68,113.44,0.00,Cancelled,0
11439,2023-03-05,C1056,EMEA,France,Software,VPN Annual,SMB,7,40.32,3.21,282.24,22.47,259.77,0.00,Delivered,0
11615,2023-03-05,C1141,AMER,Canada,Accessories,Monitor Arm,Mid-Market,4,91.00,32.51,364.00,130.04,233.96,,Delivered,0
